path,group,duration_s,bpm,rms_db,rms_p90_db,centroid_hz,onset,low_ratio,error
ProgressiveHouse/_played-before/055 - Franco Camiolo - Speculating As Unknown (Echo Daft Remix) - 2022.mp3,_played-before,495.9,122.0,-12.27,-7.39,2657.0,1.692,0.5401,
ProgressiveHouse/_played-before/056 - Gai Barone - Shuttered (Original Mix) - 2025.mp3,_played-before,193.5,122.0,-14.97,-9.87,2318.0,2.098,0.4005,
"ProgressiveHouse/_played-before/057 - Grance (BR), Soulmac - Happy Incident (Ale Russo Remix) - 2024.mp3",_played-before,431.9,120.0,-15.76,-11.21,2411.0,2.312,0.8,
ProgressiveHouse/_played-before/058 - Guy J - Element [Global Underground] - 2025.mp3,_played-before,472.4,123.0,-11.12,-6.66,2358.0,2.474,0.8544,
ProgressiveHouse/_played-before/059 - Guy J - Stranger In A Strange World - 2025.mp3,_played-before,457.6,122.0,-10.62,-5.84,2352.0,1.744,0.7321,
ProgressiveHouse/_played-before/060 - HAFT - Flow (Original Mix) Meanwhile Horizons - 2025.mp3,_played-before,448.7,122.0,-11.63,-5.86,2339.0,2.395,0.7589,
ProgressiveHouse/_played-before/061 - HIGHLITE – Caravan (Original Mix) [HL006] - 2020.mp3,_played-before,386.8,121.2,-13.24,-6.44,2936.0,2.083,0.6922,
ProgressiveHouse/_played-before/062 - Hernan Cattaneo & Mercurio - Diluted (Extended Mix) [Mango Alley] - 2026.mp3,_played-before,408.6,121.0,-11.08,-5.47,2355.0,1.965,0.6479,
ProgressiveHouse/_played-before/063 - Hexlogic - Pulse [Silk Music] - 2017.mp3,_played-before,350.3,122.2,-10.35,-8.57,1590.0,1.731,0.8208,
"ProgressiveHouse/_played-before/064 - Ilias Katelanos, Plecta - Asphodel (Original Mix) - 2024.mp3",_played-before,390.5,123.0,-11.14,-5.52,2968.0,2.294,0.7271,
ProgressiveHouse/_played-before/065 - K Loveski & Geronimo Eguiguren - Kamikaze (Simos Tagias Remix) [Clubsonica Records] - 2023.mp3,_played-before,425.0,122.0,-12.79,-5.72,1896.0,1.711,0.5633,
ProgressiveHouse/_played-before/066 - Kasper Koman - Fruit (Original Mix) - 2022.mp3,_played-before,480.1,122.0,-13.69,-6.66,2516.0,2.176,0.5871,
ProgressiveHouse/_played-before/067 - Kasper Koman - Hi - 2018.mp3,_played-before,483.6,120.0,-11.44,-7.44,2149.0,2.224,0.7762,
ProgressiveHouse/_played-before/068 - Khen - Babylon - 2024.mp3,_played-before,446.0,122.0,-11.09,-5.1,2543.0,2.877,0.8432,
ProgressiveHouse/_played-before/069 - Khen - Lyup - 2025.mp3,_played-before,507.6,122.0,-12.59,-7.9,2380.0,2.467,0.7354,
