# MelodicHouse - suggested mixing order (light -> aggressive). number | bpm | source | file
## 1. Soft opening - ambient, very gentle, 112-118 bpm
1280 | 120.0 bpm | new              | Aftruu - Where the Rails Hold Us - 2026.mp3
1290 | 120.0 bpm | new              | Approaching Black - A Cause and Effect - 2022.mp3
1300P | 120.0 bpm | _played-before   | Approaching Black - Amber Glow - 2026.mp3
1310 | 120.0 bpm | new              | Approaching Black - Dream Whispers - 2026.mp3
1320P | 120.0 bpm | _played-before   | Approaching Black - You Fill My Soul - 2022.mp3
1330 | 120.0 bpm | new              | Banyan - Ephemeral - 2025.mp3
1340P | 120.0 bpm | _played-before   | DUALIS - Avalon - 2025.mp3
1350 | 120.0 bpm | new              | DUALIS - Ride - 2024.mp3
1360 | 120.0 bpm | new              | Dias Ridge & TMPST - Further & Further - 2026.mp3
1370 | 120.0 bpm | new              | Dias Ridge & TMPST - Pendulum - 2026.mp3
1380 | 120.0 bpm | new              | Elliot Vast - Paradise - 2026.mp3
1390 | 120.0 bpm | new              | Elypsis - Into the Storm - 2017.mp3
1400 | 120.0 bpm | new              | Flexible Fire & Dias Ridge - Time Trials - 2023.mp3
1410 | 120.0 bpm | new              | Flexible Fire & Etza - Sunlight - 2022.mp3
1420P | 120.0 bpm | _played-before   | Flexible Fire - Laguna Azul - 2022.mp3
1430 | 120.0 bpm | new              | Flexible Fire feat. Alex Hentze - Añoranza - 2024.mp3
1440 | 120.0 bpm | new              | Grafine - Dawn - 2026.mp3
1450P | 120.0 bpm | _played-before   | Sound Quelle - Aklana - 2024.mp3
1460 | 120.0 bpm | new              | TOMB & LAR - Trails - 2023.mp3
1470 | 120.0 bpm | new              | terro & TMPST - Halcyon - 2025.mp3
1480P | 118.0 bpm | _played-before   | Marsh - Belle - 2017.mp3
1490 | 118.0 bpm | new              | Marsh - Mini Anthem - 2017.mp3

## 4. Peak melodic - biggest, most progressive, 122-128 bpm
1500P | 122.0 bpm | _played-before   | Approaching Black - Alone Again - 2017.mp3
1510 | 122.0 bpm | new              | Dokho - Samaria - 2023.mp3
1520 | 122.0 bpm | new              | Not Now Please - Time Trap - 2025.mp3
1530P | 123.0 bpm | _played-before   | Dokho - Saganaki - 2023.mp3
1540P | 123.0 bpm | _played-before   | Shingo Nakamura & MØØNE - Cautious Love - 2026.mp3
1550 | 123.0 bpm | new              | terro & TMPST - Never Let You Go - 2025.mp3
1560 | 124.0 bpm | new              | MXV & Courtney Storm - Can You - 2025.mp3
1570P | 124.1 bpm | _played-before   | Blue Haze - Amber Glow (Blood Groove & Kikis Remix) - 2017.mp3
1580 | 124.0 bpm | new              | Nora En Pure - Gratitude (Extended Mix) - 2022.mp3
1590 | 124.0 bpm | new              | Andrewboy, Bugyi András - Life - 2021.mp3
1600 | 124.1 bpm | new              | Momo Dobrev, Shadowmaw - Nightfall (Original Mix) - 2020.mp3
1610 | 128.0 bpm | new              | Cassian, YOTTO, Da Hool – Love Parade (Extended Mix) - 2025.mp3
