path,group,duration_s,bpm,rms_db,rms_p90_db,centroid_hz,onset,low_ratio,error
MelodicHouse/064 - Enviado Vida - A Passing Glance - 2026.mp3,new,183.4,118.0,-12.47,-7.93,1961.0,1.349,0.6032,
MelodicHouse/065 - Enviado Vida - Best of Times - 2020.mp3,new,402.5,119.9,-14.33,-13.23,1425.0,1.455,0.7282,
MelodicHouse/066 - Enviado Vida - Dirty INC. - 2018.mp3,new,349.0,116.0,-13.74,-7.01,1504.0,1.503,0.7803,
MelodicHouse/067 - Enviado Vida - Dirty Inc - 2018.mp3,new,349.0,116.0,-13.74,-7.01,1504.0,1.503,0.7803,
MelodicHouse/068 - Enviado Vida - Retinal Pathology - 2017.mp3,new,254.0,65.0,-14.96,-11.23,943.0,1.247,0.6786,
MelodicHouse/069 - Enviado Vida - Touch This Feeling - 2026.mp3,new,153.5,115.0,-13.85,-9.1,1961.0,1.635,0.683,
MelodicHouse/070 - Etza - Este - 2024.mp3,new,170.1,117.0,-14.42,-10.19,2091.0,1.58,0.4761,
MelodicHouse/071 - Etza - Sur - 2023.mp3,new,280.1,118.0,-13.74,-8.44,1774.0,1.429,0.5704,
MelodicHouse/072 - Faodail - Turning - 2024.mp3,new,220.3,118.0,-12.82,-7.84,1596.0,1.231,0.7976,
MelodicHouse/073 - Finding Mero - Glass Souls - 2025.mp3,new,180.3,120.0,-12.21,-8.11,1920.0,1.545,0.7968,
MelodicHouse/074 - Finding Mero - In Loving Memories - 2023.mp3,new,183.3,118.0,-11.82,-7.19,1809.0,1.46,0.67,
MelodicHouse/075 - Finding Mero - Since July - 2026.mp3,new,197.5,118.0,-11.47,-8.16,1974.0,1.41,0.6975,
MelodicHouse/076 - Finding Mero - Solitude - 2025.mp3,new,180.3,121.0,-11.84,-8.38,1630.0,1.533,0.6275,
MelodicHouse/077 - Finding Mero - Still with Me - 2026.mp3,new,192.1,119.0,-12.17,-7.86,1251.0,1.352,0.6985,
MelodicHouse/078 - Finding Mero - Wistful Waves - 2025.mp3,new,225.6,121.1,-12.26,-8.45,2054.0,1.217,0.606,
MelodicHouse/079 - Flexible Fire & Dias Ridge - Eucalyptus - 2025.mp3,new,189.3,119.0,-13.08,-7.44,1245.0,1.719,0.6488,
MelodicHouse/080 - Flexible Fire & Dias Ridge - Through the Inversion - 2024.mp3,new,202.3,119.0,-11.47,-8.04,1529.0,1.38,0.8528,
MelodicHouse/081 - Flexible Fire & Dias Ridge - Time Trials - 2023.mp3,new,189.3,120.0,-14.44,-8.12,1792.0,1.407,0.5759,
MelodicHouse/082 - Flexible Fire & Enviado Vida - Drops of Dew - 2025.mp3,new,166.3,119.0,-13.98,-8.39,1413.0,1.416,0.7083,
MelodicHouse/083 - Flexible Fire & Etza - Sunlight - 2022.mp3,new,230.0,120.0,-13.0,-7.87,1276.0,1.579,0.6156,
MelodicHouse/084 - Flexible Fire - Alpina - 2022.mp3,new,202.3,118.9,-13.11,-10.14,1394.0,1.508,0.5425,
MelodicHouse/085 - Flexible Fire - Amatista - 2023.mp3,new,204.4,118.0,-12.04,-7.56,1641.0,1.439,0.5814,
MelodicHouse/086 - Flexible Fire - Costa Serena - 2023.mp3,new,202.0,117.9,-12.45,-7.08,1329.0,1.651,0.8028,
MelodicHouse/087 - Flexible Fire - El Refugio - 2023.mp3,new,169.1,118.0,-14.44,-8.35,1565.0,1.735,0.677,
MelodicHouse/088 - Flexible Fire - La Cumbre - 2021.mp3,new,202.5,117.0,-12.5,-7.12,1575.0,1.75,0.5551,
MelodicHouse/089 - Flexible Fire - Laguna Azul - 2022.mp3,new,199.1,120.0,-11.81,-8.03,1678.0,1.786,0.6776,
MelodicHouse/090 - Flexible Fire - Marea Turquesa - 2023.mp3,new,188.0,119.0,-13.93,-8.94,1404.0,1.625,0.8213,
MelodicHouse/091 - Flexible Fire - Nido del Águila - 2020.mp3,new,401.0,116.9,-12.48,-8.43,1559.0,1.82,0.7006,
MelodicHouse/092 - Flexible Fire - South Wind - 2026.mp3,new,151.4,115.0,-11.74,-6.92,1266.0,1.427,0.8216,
MelodicHouse/093 - Flexible Fire - Starfall - 2026.mp3,new,202.1,117.1,-12.34,-7.2,1250.0,1.348,0.7916,
