path,group,duration_s,bpm,rms_db,rms_p90_db,centroid_hz,onset,low_ratio,error
DeepHouse/_played-before/055 - Gentleman - Deeply Love (Original Mix) - 2023.mp3,_played-before,333.5,118.0,-10.49,-7.17,2081.0,1.871,0.7927,
DeepHouse/_played-before/056 - Gaston Lopez - Limits On The Mind (Original Mix) - 2024.mp3,_played-before,372.0,120.0,-10.97,-5.94,1642.0,2.203,0.7245,
DeepHouse/_played-before/057 - Gentleman (DJ) - Velvet Nights - 2025.mp3,_played-before,392.0,120.0,-13.65,-9.64,2126.0,2.657,0.6922,
DeepHouse/_played-before/058 - Luis Radio - Reach Up (Original Mix) - 2023.mp3,_played-before,319.1,122.9,-12.04,-5.57,2640.0,2.085,0.8068,
DeepHouse/_played-before/059 - Gentleman - Tell Me What You Need (Original Mix) - 2024.mp3,_played-before,354.0,120.0,-12.06,-6.28,1198.0,1.792,0.7834,
"DeepHouse/_played-before/060 - Gentleman (DJ), BiG AL - Listen to Sade (BiG AL Remix) - 2024.mp3",_played-before,374.7,114.0,-13.55,-6.68,2122.0,1.658,0.5554,
DeepHouse/_played-before/061 - Gentleman & Darles Flow - Isolation (Original Mix) - 2025.mp3,_played-before,352.8,117.1,-12.08,-6.69,1773.0,1.918,0.8454,
DeepHouse/_played-before/062 - Carla’s Dreams - Sub Pielea Mea (Midi Culture Remix) ｜ #eroina ｜ Official video - 2016.mp3,_played-before,233.8,121.0,-12.17,-6.79,2635.0,1.836,0.8351,
DeepHouse/_played-before/063 - Andreas Balicki - Smile - 2022.mp3,_played-before,341.7,121.0,-12.11,-5.05,2632.0,2.43,0.9096,
DeepHouse/_played-before/064 - Amol Reon - The Dawn - 2021.mp3,_played-before,383.6,122.0,-13.1,-7.56,1974.0,1.949,0.743,
DeepHouse/_played-before/065 - Oscar Barila - My Oxygen (T.Markakis Remix) - 2023.mp3,_played-before,395.3,124.0,-10.89,-5.03,2376.0,1.82,0.7411,
DeepHouse/_played-before/066 - 16BL - Deep In My Soul (Original Mix) - 2014.mp3,_played-before,365.0,121.1,-13.49,-10.04,1694.0,1.717,0.5931,
DeepHouse/_played-before/067 - Gaston Lopez - Real Dancer (Original Mix) - 2025.mp3,_played-before,335.6,121.0,-12.98,-6.41,1954.0,2.237,0.8121,
DeepHouse/_played-before/068 - Fullempty - 777⧸Poolside - 2024.mp3,_played-before,244.9,128.0,-17.35,-10.84,1942.0,1.634,0.6192,
